time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-06-10,25.62,21.82,,,0.32,,,1.05,,,,81.03,Esmeraldas,0.6955,-79.224
2015-06-11,25.68,22.7,,,6.43,,,1.59,,,,84.64,Esmeraldas,0.6955,-79.224
2015-06-12,25.35,22.73,,,3.68,,,2.23,,,,86.4,Esmeraldas,0.6955,-79.224
2015-06-13,25.68,22.45,,,11.39,,,1.79,,,,83.97,Esmeraldas,0.6955,-79.224
2015-06-14,25.28,22.84,,,5.23,,,1.61,,,,87.25,Esmeraldas,0.6955,-79.224
2015-06-15,26.02,22.99,,,1.7,,,1.43,,,,84.69,Esmeraldas,0.6955,-79.224
2015-06-16,25.93,23.29,,,1.98,,,1.99,,,,86.38,Esmeraldas,0.6955,-79.224
2015-06-17,25.59,22.8,,,6.21,,,2.12,,,,85.84,Esmeraldas,0.6955,-79.224
2015-06-18,25.63,22.8,,,2.2,,,1.81,,,,85.55,Esmeraldas,0.6955,-79.224
2015-06-19,25.68,22.88,,,4.64,,,2.11,,,,85.77,Esmeraldas,0.6955,-79.224
2015-06-20,25.31,22.82,,,1.6,,,1.91,,,,87.09,Esmeraldas,0.6955,-79.224
2015-06-21,25.75,22.59,,,0.48,,,1.73,,,,84.02,Esmeraldas,0.6955,-79.224
2015-06-22,26.15,22.66,,,1.06,,,1.64,,,,82.75,Esmeraldas,0.6955,-79.224
2015-06-23,25.91,22.77,,,0.83,,,2.13,,,,84.16,Esmeraldas,0.6955,-79.224
2015-06-24,25.86,22.19,,,0.25,,,2.3,,,,81.84,Esmeraldas,0.6955,-79.224
2015-06-25,26.03,22.35,,,0.43,,,2.04,,,,81.96,Esmeraldas,0.6955,-79.224
2015-06-26,26.05,22.46,,,0.48,,,2.09,,,,82.31,Esmeraldas,0.6955,-79.224
2015-06-27,26.29,21.88,,,0.2,,,2.13,,,,78.84,Esmeraldas,0.6955,-79.224
2015-06-28,26.08,21.99,,,0.27,,,2.19,,,,80.01,Esmeraldas,0.6955,-79.224
2015-06-29,26.17,21.46,,,0.44,,,1.97,,,,77.35,Esmeraldas,0.6955,-79.224
2015-06-30,25.99,22.19,,,0.4,,,1.6,,,,81.09,Esmeraldas,0.6955,-79.224
2015-07-01,26.14,22.19,,,0.98,,,1.76,,,,80.73,Esmeraldas,0.6955,-79.224
2015-07-02,25.78,22.33,,,1.27,,,1.73,,,,82.66,Esmeraldas,0.6955,-79.224
2015-07-03,26.52,21.98,,,0.89,,,1.68,,,,78.46,Esmeraldas,0.6955,-79.224
2015-07-04,26.32,22.47,,,1.18,,,1.94,,,,81.11,Esmeraldas,0.6955,-79.224
2015-07-05,26.04,22.26,,,1.3,,,2.22,,,,81.3,Esmeraldas,0.6955,-79.224
2015-07-06,26.08,21.95,,,3.85,,,2.37,,,,79.95,Esmeraldas,0.6955,-79.224
2015-07-07,25.29,22.05,,,6.18,,,2.02,,,,83.66,Esmeraldas,0.6955,-79.224
2015-07-08,25.34,21.65,,,1.51,,,1.94,,,,81.7,Esmeraldas,0.6955,-79.224
2015-07-09,25.4,21.76,,,0.92,,,2.13,,,,81.87,Esmeraldas,0.6955,-79.224
2015-07-10,25.49,21.78,,,0.53,,,2.07,,,,81.62,Esmeraldas,0.6955,-79.224
2015-07-11,25.98,21.48,,,0.61,,,1.9,,,,78.52,Esmeraldas,0.6955,-79.224
2015-07-12,25.86,21.48,,,1.77,,,2.14,,,,79.28,Esmeraldas,0.6955,-79.224
2015-07-13,26.04,21.6,,,0.7,,,1.95,,,,78.71,Esmeraldas,0.6955,-79.224
2015-07-14,25.76,22.11,,,1.35,,,2.26,,,,81.78,Esmeraldas,0.6955,-79.224
2015-07-15,25.52,21.69,,,6.9,,,2.24,,,,81.2,Esmeraldas,0.6955,-79.224
2015-07-16,25.47,21.98,,,2.59,,,1.86,,,,82.55,Esmeraldas,0.6955,-79.224
2015-07-17,25.59,21.78,,,2.23,,,1.96,,,,81.42,Esmeraldas,0.6955,-79.224
